126 25 
10 3135 15
10 3165 15
10 3195 15
10 3225 15
10 3255 15
10 3285 15
10 3315 15
10 3345 15
10 3375 15
10 3405 15
10 3435 15
10 3465 15
10 3465 45
10 3495 45
10 3525 45
10 3555 45
10 3585 45
10 3615 45
10 3645 45
10 3675 45
10 3705 45
10 3705 15
10 3675 15
10 3645 15
10 3615 15
10 3585 15
10 3555 15
10 3525 15
10 3495 15
10 3435 45
10 3405 45
10 3375 45
10 3345 45
10 3315 45
10 3285 45
10 3255 45
10 3225 45
10 3195 45
10 3165 45
10 3135 45
10 3105 45
10 3075 45
10 3045 45
10 3015 45
10 2985 45
10 2955 45
10 2925 45
10 2895 45
10 3675 75
10 3675 105
10 3675 135
10 3675 165
10 3675 195
10 3675 225
10 3675 255
10 3675 285
10 3675 315
10 3675 345
10 3675 375
10 3675 405
10 3675 435
10 3675 465
10 3675 495
10 3675 525
10 3675 555
10 3705 555
10 3705 585
10 3705 615
10 3705 645
10 3705 675
10 3705 705
10 3705 735
10 3705 765
10 3705 525
10 3705 495
10 3705 465
10 3705 435
10 3705 405
10 3705 375
10 3705 345
10 3705 315
10 3705 285
10 3705 255
10 3705 225
10 3705 195
10 3705 165
10 3705 75
10 3705 105
10 3705 135
10 3675 585
10 3675 615
10 3675 645
10 3675 675
10 3675 705
10 3675 735
10 3675 765
10 3645 765
10 3615 765
10 3585 765
10 3555 765
10 3525 765
10 3495 765
10 3465 765
10 3435 765
10 3405 765
10 3375 765
10 3345 765
10 3315 765
10 3285 765
10 3255 765
10 3225 765
10 3195 765
10 3165 765
10 3135 765
10 3105 765
10 3075 765
10 3045 765
10 3015 765
10 2985 765
10 2955 765
10 2925 765
10 2895 765
10 2865 765
10 2835 765
10 2805 765
10 2805 735
10 2835 735
10 2865 735
10 2895 735
10 2925 735
10 2955 735
10 2985 735
10 3645 735
10 3615 735
10 3585 735
10 3555 735
10 3525 735
10 3495 735
10 3465 735
10 3435 735
10 3405 735
10 3375 735
10 3345 735
10 3315 735
10 3285 735
10 3255 735
10 3225 735
10 3195 735
10 3165 735
10 3135 735
10 3105 735
10 3075 735
10 3045 735
10 3015 735
10 2835 705
10 2865 705
10 2865 675
10 2865 645
10 2865 615
10 2865 585
10 2865 555
10 2865 525
10 2865 495
10 2835 495
10 2805 495
10 2835 525
10 2835 555
10 2805 585
10 2835 615
10 2835 645
10 2835 675
10 2805 705
10 2805 615
10 2835 585
10 2805 645
10 2805 555
10 2805 675
10 2805 525
12 2865 465
12 2865 435
12 2865 405
12 2865 375
12 2865 345
12 2865 315
24 3435 690
